Gebieden,onderwerpen,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ekeren,Aandeel GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Ekeren,Aandeel indicator-leerlingen,0,0,0,0,0,0,0,0,0,26.7750214
Ekeren,Aandeel met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,7.0573139
Ekeren,Aandeel met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,14.9272883
Ekeren,Aandeel thuisloze leerlingen,0,0,0,0,0,0,0,0,0,0.1283148
Ekeren,Aandeel leerlingen trekkende bevolking,0,0,0,0,0,0,0,0,0,0.2994012
Ekeren,Aandeel leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,16.5953807
Ekeren,Aantal GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Ekeren,Aantal indicator-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,626
Ekeren,Aantal leerlingen met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,165
Ekeren,Aantal leerlingen met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,349
Ekeren,Aantal thuisloze leerlingen,0,0,0,0,0,0,0,0,0,0
Ekeren,Aantal leerlingen uit trekkende bevolking,0,0,0,0,0,0,0,0,0,7
Ekeren,Aantal leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,388
Ekeren,Aantal leerlingen basisonderwijs (GOK-telling),0,0,0,0,0,0,0,0,0,2338
Merksem,Aantal leerlingen basisonderwijs,4083,4090,4012,3946,3929,3969,4025,4149,4300,4515
Merksem,Aandeel inwoners dat basisonderwijs volgt,9.956351,9.9462562,9.7364461,9.5909389,9.5243867,9.5966923,9.6377176,9.9525043,10.2824075,10.6080541
Merksem,Aantal leerlingen basisonderwijs - jongens,2053,2079,2052,2036,2018,2025,2071,2116,2191,2299
Merksem,Aantal leerlingen basisonderwijs - meisjes,2030,2011,1960,1910,1911,1944,1954,2033,2109,2216
Merksem,Aantal leerlingen basisonderwijs - school buiten Antwerpen,426,438,411,393,402,418,407,459,496,531
Merksem,Aantal leerlingen basisonderwijs - school binnen Antwerpen,3657,3652,3601,3553,3527,3551,3618,3690,3804,3984
Merksem,Leerlingen basisonderwijs - percentage jongens,50.2816556,50.8312958,51.1465603,51.5965535,51.3616696,51.0204082,51.4534161,51.000241,50.9534884,50.9191584
Merksem,Leerlingen basisonderwijs - percentage meisjes,49.7183444,49.1687042,48.8534397,48.4034465,48.6383304,48.9795918,48.5465839,48.999759,49.0465116,49.0808416
Merksem,Leerlingen basisonderwijs - percentage school buiten Antwerpen,10.4335048,10.7090465,10.2442672,9.9594526,10.2316111,10.5316201,10.1118012,11.0629067,11.5348837,11.7607973
Merksem,Leerlingen basisonderwijs - percentage school binnen Antwerpen,89.5664952,89.2909535,89.7557328,90.0405474,89.7683889,89.4683799,89.8881988,88.9370933,88.4651163,88.2392027
Merksem,Aantal leerlingen gewoon kleuteronderwijs,1384,1438,1406,1389,1398,1490,1539,1614,1644,1759
Merksem,Aantal leerlingen buitengewoon kleuteronderwijs,11,13,8,14,13,19,23,29,27,23
Merksem,Aantal leerlingen kleuteronderwijs totaal,1395,1451,1414,1403,1411,1509,1562,1643,1671,1782
Merksem,Leerlingen basisonderwijs - percentage gewoon kleuteronderwijs,33.8966446,35.1589242,35.0448654,35.2002027,35.5815729,37.5409423,38.2360248,38.90094,38.2325581,38.9590255
Merksem,Leerlingen basisonderwijs - percentage buitengewoon kleuteronderwijs,0.2694097,0.3178484,0.1994018,0.3547897,0.330873,0.47871,0.5714286,0.6989636,0.627907,0.5094131
